,2,3,4,5,6,7,8,9,10,A
~8,H,H,H,H,H,H,H,H,H,H
9,H,D,D,D,D,H,H,H,H,H
10,D,D,D,D,D,D,D,D,H,H
11,D,D,D,D,D,D,D,D,D,H
12,H,H,ST,ST,ST,H,H,H,H,H
13,ST,ST,ST,ST,ST,H,H,H,H,H
14,ST,ST,ST,ST,ST,H,H,H,H,H
15,ST,ST,ST,ST,ST,H,H,H,SR,H
16,ST,ST,ST,ST,ST,H,H,SR,SR,SR
17~21,ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
"A,2",H,H,H,D,D,H,H,H,H,H
"A,3",H,H,H,D,D,H,H,H,H,H
"A,4",H,H,D,D,D,H,H,H,H,H
"A,5",H,H,D,D,D,H,H,H,H,H
"A,6",H,D,D,D,D,H,H,H,H,H
"A,7",ST,D,D,D,D,ST,ST,H,H,H
"A,8",ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
"A,9",ST,ST,ST,ST,ST,ST,ST,ST,ST,ST
"A,A",SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
"2,2",SP,SP,SP,SP,SP,SP,H,H,H,H
"3,3",SP,SP,SP,SP,SP,SP,H,H,H,H
"4,4",H,H,H,H,H,H,H,H,H,H
"5,5",D,D,D,D,D,D,D,D,H,H
"6,6",SP,SP,SP,SP,SP,H,H,H,H,H
"7,7",SP,SP,SP,SP,SP,SP,H,H,H,H
"8,8",SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
"9,9",SP,SP,SP,SP,SP,ST,SP,SP,ST,ST
"10,10",ST,ST,ST,ST,ST,ST,ST,ST,ST,ST